Day,Total_Daily_Consumption,LCLid
2012-01-27,6809.7039997,546
2012-01-28,7405.8480011,554
2012-01-29,7826.682997,554
2012-01-30,7627.2719991,567
2012-01-31,8070.3910008,581
2012-02-01,8150.8289979,590
2012-02-02,8736.2299971,608
2012-02-03,9104.8389978,627
2012-02-04,9607.7219949,634
2012-02-05,10106.111001,634
2012-02-06,9200.583,655
2012-02-07,9259.8050038,667
2012-02-08,10242.8140001,674
2012-02-09,9808.0709993,681
2012-02-10,10166.6179966,696
2012-02-11,10411.5740047,700
2012-02-12,11115.044001,700
2012-02-13,10128.2590011,708
2012-02-14,9734.7009974,713
2012-02-15,9464.2569981,725
2012-02-16,9230.9059987,733
2012-02-17,9157.1040005,736
2012-02-18,9560.5260024,738
2012-02-19,10151.2169999,738
2012-02-20,10032.9250027,754
2012-02-21,9669.3640023,765
2012-02-22,10049.2140011,780
2012-02-23,9193.104002,791
2012-02-24,9249.6230013,802
2012-02-25,9503.8919978,805
2012-02-26,10017.5979984,805
2012-02-27,9988.8699955,819
2012-02-28,9578.6740002,828
2012-02-29,9708.5509957,843
2012-03-01,9558.5989994,852
2012-03-02,10224.2300002,863
2012-03-03,10559.8529995,865
2012-03-04,11645.9329997,865
2012-03-05,11101.2879981,873
2012-03-06,11569.9239985,888
2012-03-07,11456.4409945,898
2012-03-08,10936.7969952,908
2012-03-09,11160.1160028,918
2012-03-10,11030.6550032,925
2012-03-11,11145.2880031,925
2012-03-12,10361.4270008,943
2012-03-13,10579.0040019,962
2012-03-14,10772.6629986,980
2012-03-15,11024.7819983,1005
2012-03-16,11682.8399989,1033
2012-03-17,12305.5110002,1040
2012-03-18,12641.6590003,1040
2012-03-19,11840.9169972,1071
2012-03-20,11728.8880043,1093
2012-03-21,11657.0790001,1123
2012-03-22,11674.3059955,1144
2012-03-23,11956.156995,1181
2012-03-24,12160.8220006,1189
2012-03-25,12719.7530023,1189
2012-03-26,12011.9020022,1203
2012-03-27,11643.8829984,1217
2012-03-28,11703.8410032,1228
2012-03-29,11490.5100003,1230
2012-03-30,11492.2810011,1230
2012-03-31,12862.4179994,1234
2012-04-01,13271.9559999,1235
2012-04-02,12586.5339954,1268
2012-04-03,13122.631001,1291
2012-04-04,13499.7730018,1317
2012-04-05,14275.2579984,1341
2012-04-06,14166.7920061,1342
2012-04-07,13829.7639992,1341
2012-04-08,14225.8859987,1340
2012-04-09,14258.7700013,1341
2012-04-10,13588.5529993,1370
2012-04-11,14119.7639964,1403
2012-04-12,14596.4670003,1443
2012-04-13,14815.5060032,1479
2012-04-14,15362.4070013,1498
2012-04-15,16667.267002,1498
2012-04-16,16168.6310018,1548
2012-04-17,16977.2919989,1599
2012-04-18,17798.1860032,1649
2012-04-19,18145.6230022,1697
2012-04-20,17916.4219996,1742
2012-04-21,18058.704998,1764
2012-04-22,18821.7139962,1763
2012-04-23,18552.9709988,1813
2012-04-24,18690.7389993,1863
2012-04-25,20039.3240011,1909
2012-04-26,19379.3840003,1955
2012-04-27,19492.9649986,2018
2012-04-28,21802.2870051,2034
2012-04-29,23521.635999,2035
2012-04-30,19711.5680002,2111
2012-05-01,20052.4620024,2178
2012-05-02,20800.0400005,2240
2012-05-03,22983.438994,2294
2012-05-04,23376.2289961,2338
2012-05-05,24115.7540043,2357
2012-05-06,25069.8159972,2358
2012-05-07,24799.333,2359
2012-05-08,22697.1379988,2462
2012-05-09,23930.9400028,2524
2012-05-10,23786.5949998,2586
2012-05-11,23265.2250008,2665
2012-05-12,24573.9389998,2685
2012-05-13,25499.5020009,2685
2012-05-14,25471.4079994,2772
2012-05-15,26962.940996,2852
2012-05-16,23553.5629985,2909
2012-05-17,26404.8400003,2995
2012-05-18,27501.353999,3081
2012-05-19,27948.3439997,3105
2012-05-20,30409.4320006,3106
2012-05-21,28194.4950032,3199
2012-05-22,27028.4900003,3285
2012-05-23,26913.8879998,3351
2012-05-24,27115.1510014,3406
2012-05-25,27570.6719988,3462
2012-05-26,28215.4289973,3473
2012-05-27,29319.4939979,3474
2012-05-28,28499.8560026,3518
2012-05-29,28586.0889997,3571
2012-05-30,28805.4589965,3615
2012-05-31,29598.6729986,3668
2012-06-01,30278.769000700002,3717
2012-06-02,31599.756996,3741
2012-06-03,34793.9760016,3740
2012-06-04,33059.6350004,3741
2012-06-05,34515.6550041,3741
2012-06-06,31933.458003,3790
2012-06-07,33597.3749925,3839
2012-06-08,34180.6299983,3881
2012-06-09,33429.1320025,3908
2012-06-10,35620.7750016,3907
2012-06-11,37268.2230054,3946
2012-06-12,36505.28,3986
2012-06-13,27945.0859975,3998
2012-06-14,31563.7839959,3875
2012-06-15,28245.4629964,3908
2012-06-16,28835.0469992,3698
2012-06-17,36371.0830048,4084
2012-06-18,34255.8469993,4114
2012-06-19,33553.4219979,4132
2012-06-20,33290.9979984,4143
2012-06-21,34897.8810016,4152
2012-06-22,35143.5220023,4159
2012-06-23,35936.2359981,4174
2012-06-24,37537.6889966,4174
2012-06-25,34570.6700025,4181
2012-06-26,34439.9200001,4185
2012-06-27,34593.2529999,4190
2012-06-28,34114.6769991,4194
2012-06-29,34444.3519977,4199
2012-06-30,34421.8950024,4209
2012-07-01,36555.6520034,4208
2012-07-02,36552.4159952,4263
2012-07-03,35671.7609979,4284
2012-07-04,34921.6199983,4245
2012-07-05,35166.2889984,4348
2012-07-06,36397.9069974,4440
2012-07-07,37877.5519998,4485
2012-07-08,40721.0679994,4485
2012-07-09,38590.2819955,4542
2012-07-10,38256.1009986,4590
2012-07-11,38083.1999985,4637
2012-07-12,38564.3869983,4680
2012-07-13,38797.3339941,4715
2012-07-14,40751.0790033,4741
2012-07-15,40955.0129964,4741
2012-07-16,40635.192999,4740
2012-07-17,38616.2230009,4740
2012-07-18,39177.4509995,4741
2012-07-19,38509.4699971,4738
2012-07-20,39070.8560028,4745
2012-07-21,38614.8490035,4745
2012-07-22,39109.280997,4745
2012-07-23,37942.4920015,4747
2012-07-24,37556.1660006,4745
2012-07-25,37967.3549976,4746
2012-07-26,37555.1850031,4745
2012-07-27,39049.37,4748
2012-07-28,38424.9969948,4747
2012-07-29,40675.0999965,4748
2012-07-30,38372.4450034,4748
2012-07-31,39006.6779988,4754
2012-08-01,38332.4869996,4753
2012-08-02,37860.2249973,4753
2012-08-03,38068.5000003,4761
2012-08-04,38825.1759994,4761
2012-08-05,41253.6240028,4760
2012-08-06,39361.1099935,4761
2012-08-07,39103.3290023,4761
2012-08-08,38104.879002300004,4761
2012-08-09,37950.2700011,4761
2012-08-10,37923.4519991,4760
2012-08-11,38220.6540008,4760
2012-08-12,39990.8629994,4760
2012-08-13,38487.4819997,4761
2012-08-14,37554.7700048,4761
2012-08-15,38538.0440006,4761
2012-08-16,37880.9409971,4760
2012-08-17,37000.1720014,4760
2012-08-18,38142.6719998,4759
2012-08-19,40026.1819967,4759
2012-08-20,38744.4170028,4758
2012-08-21,37815.4539989,4761
2012-08-22,37369.1359994,4763
2012-08-23,37263.3469962,4763
2012-08-24,37624.711999,4763
2012-08-25,38687.2879987,4762
2012-08-26,38567.1920048,4761
2012-08-27,39589.0419985,4761
2012-08-28,38325.0649985,4762
2012-08-29,39500.4610021,4762
2012-08-30,39693.9449957,4761
2012-08-31,38564.8470022,4762
2012-09-01,39517.012,4761
2012-09-02,42865.2129981,4762
2012-09-03,39822.2369969,4761
2012-09-04,39716.1419995,4763
2012-09-05,38868.1980005,4765
2012-09-06,38445.3120007,4762
2012-09-07,38285.1839998,4764
2012-09-08,39235.1769962,4764
2012-09-09,40934.0750007,4764
2012-09-10,40549.2149999,4764
2012-09-11,39250.8059955,4765
2012-09-12,39515.0539965,4773
2012-09-13,39392.7870002,4785
2012-09-14,39810.6999986,4801
2012-09-15,40334.1740007,4801
2012-09-16,43304.5260027,4802
2012-09-17,41370.9400013,4830
2012-09-18,41147.9189996,4849
2012-09-19,41546.1670044,4860
2012-09-20,42103.4310043,4875
2012-09-21,43045.6989997,4888
2012-09-22,43956.6179984,4888
2012-09-23,51240.2579969,4887
2012-09-24,47379.1679973,4925
2012-09-25,45504.7360041,4935
2012-09-26,46323.0700009,4957
2012-09-27,46087.900003,4980
2012-09-28,46318.7809985,5005
2012-09-29,46971.2729997,5006
2012-09-30,50799.671,5005
2012-10-01,48239.184002,5030
2012-10-02,47621.1449957,5064
2012-10-03,47774.227005,5085
2012-10-04,47670.627007,5102
2012-10-05,48931.8240043,5117
2012-10-06,49002.2810047,5120
2012-10-07,52299.8939994,5121
2012-10-08,52221.2370064,5156
2012-10-09,49964.161996,5182
2012-10-10,50051.3140052,5194
2012-10-11,52309.8399973,5228
2012-10-12,50578.3209965,5262
2012-10-13,53122.3720011,5261
2012-10-14,56533.0889974,5261
2012-10-15,53856.7870026,5279
2012-10-16,52309.1130021,5297
2012-10-17,52014.928998,5321
2012-10-18,51401.0589991,5348
2012-10-19,54613.7230049,5378
2012-10-20,54573.2430027,5381
2012-10-21,58921.3939976,5380
2012-10-22,55361.0040047,5415
2012-10-23,54847.6459997,5441
2012-10-24,53363.0469986,5454
2012-10-25,55168.2229966,5483
2012-10-26,58860.1519978,5520
2012-10-27,62372.852001,5520
2012-10-28,66596.5799996,5520
2012-10-29,60751.016993,5520
2012-10-30,59652.2980024,5519
2012-10-31,59751.2449956,5519
2012-11-01,59514.9209951,5520
2012-11-02,60879.8280002,5521
2012-11-03,62900.1239927,5521
2012-11-04,69664.1769994,5521
2012-11-05,62875.6790048,5520
2012-11-06,63705.3089985,5524
2012-11-07,62124.3959955,5524
2012-11-08,60465.4600055,5524
2012-11-09,60431.9229958,5527
2012-11-10,63139.6540021,5528
2012-11-11,66473.9219911,5528
2012-11-12,63047.0629977,5529
2012-11-13,59186.0719992,5529
2012-11-14,59098.2099802,5530
2012-11-15,60495.3359858,5530
2012-11-16,62364.7659996,5530
2012-11-17,63549.363,5531
2012-11-18,66829.5789983,5531
2012-11-19,63099.5479951,5532
2012-11-20,61431.7119966,5532
2012-11-21,62643.9169996,5532
2012-11-22,60824.7540069,5530
2012-11-23,60900.3060026,5529
2012-11-24,66872.7840068,5529
2012-11-25,67399.6940064,5531
2012-11-26,63640.5299996,5530
2012-11-27,64598.4289957,5530
2012-11-28,66176.5779958,5531
2012-11-29,66709.2850037,5531
2012-11-30,68022.1669984,5530
2012-12-01,72563.2909973,5530
2012-12-02,75819.4440069,5528
2012-12-03,68497.7260036,5527
2012-12-04,67807.82099569999,5527
2012-12-05,70407.5219963,5528
2012-12-06,71895.7860087,5528
2012-12-07,70912.9160019,5528
2012-12-08,70699.2499954,5529
2012-12-09,74193.6000029,5529
2012-12-10,69244.1149878,5527
2012-12-11,65086.9989937,5528
2012-12-12,73306.0420068,5527
2012-12-13,73645.920004,5528
2012-12-14,72310.5290016,5527
2012-12-15,68844.3760006,5528
2012-12-16,70541.9689977,5528
2012-12-17,66003.5519989,5527
2012-12-18,67361.8699975,5541
2012-12-19,68509.16448985,5530
2012-12-20,67631.0224993,5524
2012-12-21,64984.3620001,5518
2012-12-22,68183.4119991,5517
2012-12-23,65806.957998,5514
2012-12-24,66453.0329942,5513
2012-12-25,68988.8580013,5515
2012-12-26,64350.8849987,5513
2012-12-27,65277.8559983,5512
2012-12-28,64881.7870048,5513
2012-12-29,64371.3629934,5514
2012-12-30,65610.104993,5513
2012-12-31,65599.6099958,5512
2013-01-01,65269.3680013,5513
2013-01-02,66235.8049997,5512
2013-01-03,62832.506997,5512
2013-01-04,62942.1459979,5514
2013-01-05,64568.0329966,5514
2013-01-06,68459.092997,5511
2013-01-07,64268.2550001,5513
2013-01-08,61974.0800008,5514
2013-01-09,62511.5130009,5515
2013-01-10,66524.2089973,5513
2013-01-11,66713.7110023,5509
2013-01-12,71923.9179981,5507
2013-01-13,75265.2239958,5509
2013-01-14,72611.0499949,5508
2013-01-15,71281.0680038,5507
2013-01-16,72377.1829889,5505
2013-01-17,73059.3359969,5502
2013-01-18,77294.2540031,5503
2013-01-19,80900.9629975,5502
2013-01-20,82650.4920025,5502
2013-01-21,75034.1459921,5501
2013-01-22,74398.3419997,5500
2013-01-23,73407.7789933,5501
2013-01-24,73479.518006,5497
2013-01-25,73746.7589887,5495
2013-01-26,70604.6409969,5495
2013-01-27,71041.5209932,5495
2013-01-28,67847.046995,5495
2013-01-29,63821.5679994,5493
2013-01-30,60862.8979917,5493
2013-01-31,61913.0489982,5488
2013-02-01,63519.7860029,5485
2013-02-02,67804.0450025,5486
2013-02-03,73004.9899986,5487
2013-02-04,63752.239008,5485
2013-02-05,65876.3400034,5485
2013-02-06,67199.1754927,5485
2013-02-07,67113.2819971,5484
2013-02-08,66414.1409924,5483
2013-02-09,70502.4570002,5483
2013-02-10,74558.5370066,5483
2013-02-11,71613.7730023,5484
2013-02-12,70967.2110078,5484
2013-02-13,69677.3699946,5480
2013-02-14,65642.6689957,5479
2013-02-15,63305.8980096,5480
2013-02-16,63351.8549996,5479
2013-02-17,65874.2829974,5476
2013-02-18,63053.028,5478
2013-02-19,62275.9899932,5470
2013-02-20,64104.6790081,5466
2013-02-21,68642.4580019,5468
2013-02-22,70207.881988,5461
2013-02-23,72307.5669978,5459
2013-02-24,76489.9489867,5458
2013-02-25,71302.4429949,5460
2013-02-26,68637.8210034,5459
2013-02-27,65828.7679986,5459
2013-02-28,65252.6329915,5442
2013-03-01,65543.8339955,5440
2013-03-02,66947.8400043,5439
2013-03-03,69283.3339932,5440
2013-03-04,62415.385995,5436
2013-03-05,59026.7120046,5435
2013-03-06,58030.649989,5436
2013-03-07,59173.3760013,5434
2013-03-08,59329.1154984,5429
2013-03-09,62758.5779936,5429
2013-03-10,69642.1079954,5431
2013-03-11,71182.8839987,5431
2013-03-12,69775.1109933,5429
2013-03-13,65762.7839968,5426
2013-03-14,63927.7069985,5424
2013-03-15,62880.4110011,5425
2013-03-16,66099.5049969,5424
2013-03-17,68196.7370009,5422
2013-03-18,64057.6400057,5421
2013-03-19,61743.7119949,5422
2013-03-20,63214.6199942,5420
2013-03-21,62367.2830018,5421
2013-03-22,65425.7559933,5420
2013-03-23,72746.3599949,5417
2013-03-24,76861.6590033,5416
2013-03-25,71061.8029977,5417
2013-03-26,69956.0859877,5416
2013-03-27,67641.0870012,5413
2013-03-28,65159.5099981,5407
2013-03-29,66136.1300057,5407
2013-03-30,63794.1989969,5410
2013-03-31,64556.0200086,5410
2013-04-01,64764.9960013,5405
2013-04-02,60916.6230008,5407
2013-04-03,64456.9589972,5406
2013-04-04,65951.6599971,5405
2013-04-05,63373.4509993,5402
2013-04-06,59935.8529981,5401
2013-04-07,60254.7939971,5400
2013-04-08,57193.8770048,5399
2013-04-09,58840.2940093,5398
2013-04-10,56071.8429982,5396
2013-04-11,56969.8549953,5395
2013-04-12,55958.5210002,5395
2013-04-13,56807.543997400004,5394
2013-04-14,54168.674992,5393
2013-04-15,50261.0039955,5393
2013-04-16,49758.674494,5392
2013-04-17,49485.4539976,5391
2013-04-18,49849.6969985,5389
2013-04-19,50864.033001,5383
2013-04-20,51080.4949985,5385
2013-04-21,53862.0920037,5388
2013-04-22,50681.0529946,5385
2013-04-23,46653.7780015,5384
2013-04-24,45813.8490005,5386
2013-04-25,44623.7759995,5388
2013-04-26,47263.0409986,5384
2013-04-27,51258.5840004,5381
2013-04-28,53862.8640085,5381
2013-04-29,48768.2120002,5381
2013-04-30,47582.5600032,5380
2013-05-01,47309.0460002,5380
2013-05-02,46013.0669974,5377
2013-05-03,45108.1870022,5375
2013-05-04,47651.5549906,5373
2013-05-05,47278.4260016,5371
2013-05-06,46434.924997,5371
2013-05-07,44633.4899966,5373
2013-05-08,45673.5389986,5371
2013-05-09,46730.8420009,5370
2013-05-10,46183.2369974,5370
2013-05-11,49813.407003,5370
2013-05-12,52661.0220018,5369
2013-05-13,47302.5409977,5367
2013-05-14,49880.208003,5369
2013-05-15,49696.8950025,5369
2013-05-16,47418.2249983,5365
2013-05-17,49470.9559934,5362
2013-05-18,49077.0799979,5363
2013-05-19,49511.2390027,5362
2013-05-20,48351.1959991,5361
2013-05-21,46994.7080052,5362
2013-05-22,47299.4869928,5360
2013-05-23,47683.3119982,5356
2013-05-24,51219.0389942,5359
2013-05-25,47784.3899963,5359
2013-05-26,45997.9829928,5358
2013-05-27,45846.5759967,5358
2013-05-28,48188.7600038,5357
2013-05-29,48823.9339966,5358
2013-05-30,48466.1720009,5355
2013-05-31,45172.680997,5357
2013-06-01,45397.0310004,5356
2013-06-02,46771.5870026,5353
2013-06-03,43445.218998,5355
2013-06-04,42933.6130018,5354
2013-06-05,42889.653,5353
2013-06-06,42638.7359957,5352
2013-06-07,43110.5379933,5349
2013-06-08,44226.0709976,5348
2013-06-09,48900.1650024,5346
2013-06-10,45814.0229985,5342
2013-06-11,45195.473001,5343
2013-06-12,46263.9219968,5338
2013-06-13,45641.2110016,5342
2013-06-14,43819.0930009,5341
2013-06-15,46185.260002,5338
2013-06-16,47121.3850012,5339
2013-06-17,43902.5029975,5338
2013-06-18,43804.633996,5338
2013-06-19,42883.3100023,5339
2013-06-20,43769.7700003,5338
2013-06-21,43134.5129973,5337
2013-06-22,44909.7139978,5338
2013-06-23,48059.8720016,5335
2013-06-24,44903.1109997,5333
2013-06-25,42825.0559966,5335
2013-06-26,42881.5840013,5336
2013-06-27,43255.8200011,5338
2013-06-28,44240.8699978,5336
2013-06-29,43248.4070051,5334
2013-06-30,45147.1270028,5335
2013-07-01,43296.2449997,5335
2013-07-02,44011.5089956,5336
2013-07-03,43704.1829993,5333
2013-07-04,42716.3389981,5330
2013-07-05,42418.1345002,5322
2013-07-06,42522.758002,5317
2013-07-07,44335.0749951,5316
2013-07-08,42360.6389997,5316
2013-07-09,41787.0249965,5313
2013-07-10,41692.4090008,5313
2013-07-11,41310.23,5316
2013-07-12,41510.4330024,5311
2013-07-13,42184.6340028,5311
2013-07-14,44223.8579994,5309
2013-07-15,42817.2879991,5308
2013-07-16,42604.4040011,5310
2013-07-17,42858.959001100004,5309
2013-07-18,42464.6520019,5308
2013-07-19,41817.8080006,5309
2013-07-20,42544.009997,5309
2013-07-21,43476.1619981,5306
2013-07-22,43396.9189946,5306
2013-07-23,43609.2619992,5304
2013-07-24,41762.479998,5300
2013-07-25,42269.8669966,5301
2013-07-26,41272.6160034,5297
2013-07-27,42765.6410025,5297
2013-07-28,43384.0840028,5296
2013-07-29,41870.4980022,5295
2013-07-30,42351.0319964,5294
2013-07-31,42139.0560031,5294
2013-08-01,41868.8689983,5291
2013-08-02,42222.8820014,5289
2013-08-03,40935.2129972,5288
2013-08-04,42674.8480012,5286
2013-08-05,42316.6739943,5289
2013-08-06,40768.5489994,5285
2013-08-07,40310.1559985,5281
2013-08-08,40482.3230019,5280
2013-08-09,40622.9730012,5280
2013-08-10,40681.1700018,5281
2013-08-11,42357.6160018,5283
2013-08-12,41075.6940022,5278
2013-08-13,40824.0860034,5277
2013-08-14,40704.0489976,5279
2013-08-15,41179.7599972,5279
2013-08-16,41462.1129986,5278
2013-08-17,42201.6129994,5270
2013-08-18,43163.697004,5262
2013-08-19,41085.0399987,5261
2013-08-20,40333.4869972,5265
2013-08-21,40445.9019979,5266
2013-08-22,42334.7480017,5263
2013-08-23,41079.6679953,5253
2013-08-24,43389.0989942,5251
2013-08-25,42626.0350029,5251
2013-08-26,42010.8499986,5250
2013-08-27,41429.7189988,5251
2013-08-28,41020.2450012,5252
2013-08-29,40691.383998,5252
2013-08-30,41254.7219997,5252
2013-08-31,41602.5709993,5250
2013-09-01,44193.8689936,5249
2013-09-02,42140.8519986,5251
2013-09-03,42119.3969985,5251
2013-09-04,42150.3659963,5249
2013-09-05,42356.7659989,5248
2013-09-06,43524.0459996,5243
2013-09-07,43597.7489958,5244
2013-09-08,46375.7689985,5246
2013-09-09,46098.1719993,5245
2013-09-10,45710.3169988,5243
2013-09-11,46326.0059972,5241
2013-09-12,44858.8449989,5237
2013-09-13,46239.5889961,5237
2013-09-14,48662.1130009,5237
2013-09-15,51764.0379977,5234
2013-09-16,46848.960999,5233
2013-09-17,48356.3890017,5232
2013-09-18,46463.7360012,5233
2013-09-19,47636.1579948,5225
2013-09-20,45972.9274972,5225
2013-09-21,47219.2820001,5220
2013-09-22,49646.8269981,5219
2013-09-23,46023.780994,5219
2013-09-24,44462.8860029,5220
2013-09-25,44673.7819967,5220
2013-09-26,44338.3369967,5220
2013-09-27,44472.9959994,5216
2013-09-28,46951.9560018,5219
2013-09-29,49271.8100015,5219
2013-09-30,46156.7279929,5218
2013-10-01,46467.6999945,5210
2013-10-02,46532.0869969,5211
2013-10-03,46260.5009982,5209
2013-10-04,45333.3180008,5209
2013-10-05,47665.2529932,5208
2013-10-06,48815.6829929,5206
2013-10-07,46587.5649935,5206
2013-10-08,45642.4619984,5205
2013-10-09,46528.1420045,5204
2013-10-10,48399.3659946,5207
2013-10-11,51432.2640017,5209
2013-10-12,49981.2999966,5208
2013-10-13,57096.8429915,5206
2013-10-14,52210.6149993,5205
2013-10-15,50149.8610001,5201
2013-10-16,51850.2390015,5199
2013-10-17,49202.0200018,5195
2013-10-18,48645.0380008,5197
2013-10-19,50000.5289994,5197
2013-10-20,52810.9950033,5195
2013-10-21,49210.2499989,5195
2013-10-22,48383.3929996,5196
2013-10-23,47668.0809993,5194
2013-10-24,47803.6019952,5195
2013-10-25,47690.479997200004,5194
2013-10-26,49944.5719998,5194
2013-10-27,52809.4089975,5194
2013-10-28,51343.9640055,5196
2013-10-29,51496.1164974,5195
2013-10-30,51565.5379972,5193
2013-10-31,51755.8469997,5191
2013-11-01,50984.8669965,5191
2013-11-02,51814.2470025,5193
2013-11-03,57352.4559956,5193
2013-11-04,53570.7540037,5190
2013-11-05,55565.3950008,5188
2013-11-06,54372.9959989,5189
2013-11-07,52478.9319963,5186
2013-11-08,54583.0729956,5183
2013-11-09,58648.9969986,5187
2013-11-10,59941.6370036,5188
2013-11-11,57109.0319992,5188
2013-11-12,53938.0300021,5184
2013-11-13,55332.7299913,5186
2013-11-14,55190.8940064,5185
2013-11-15,55935.8089939,5185
2013-11-16,58534.834993,5182
2013-11-17,61546.783997,5180
2013-11-18,57231.4169989,5182
2013-11-19,57394.5539944,5173
2013-11-20,61145.562999,5167
2013-11-21,60056.1880066,5162
2013-11-22,59391.5020041,5160
2013-11-23,60714.5909991,5158
2013-11-24,63850.8710065,5138
2013-11-25,59434.0289997,5138
2013-11-26,58795.5119999,5138
2013-11-27,57991.2119972,5132
2013-11-28,56715.4290047,5131
2013-11-29,56413.7829936,5130
2013-11-30,59138.1239972,5129
2013-12-01,62882.797999200004,5128
2013-12-02,57622.5689946,5127
2013-12-03,58496.7819917,5125
2013-12-04,58200.034995,5125
2013-12-05,60576.4359997,5127
2013-12-06,59418.4969978,5120
2013-12-07,61052.220995,5120
2013-12-08,61864.4520095,5121
2013-12-09,57465.231998,5120
2013-12-10,58189.2910039,5114
2013-12-11,59826.4030003,5110
2013-12-12,59475.3019981,5109
2013-12-13,58225.1489961,5111
2013-12-14,59997.778994,5112
2013-12-15,62636.0639961,5110
2013-12-16,57067.842003,5109
2013-12-17,58089.9820005,5109
2013-12-18,57742.6080036,5110
2013-12-19,58491.814004500004,5111
2013-12-20,58721.9009931,5111
2013-12-21,61953.629004,5110
2013-12-22,60987.8750006,5107
2013-12-23,61532.6289985,5108
2013-12-24,61178.4150001,5106
2013-12-25,64006.1479912,5103
2013-12-26,59479.8460029,5103
2013-12-27,59522.7379964,5104
2013-12-28,58067.1689999,5103
2013-12-29,61101.243995,5103
2013-12-30,60284.8539984,5103
2013-12-31,60749.0640059,5099
2014-01-01,62730.8880019,5099
2014-01-02,57250.2939977,5101
2014-01-03,58605.6240005,5101
2014-01-04,61162.9959947,5099
2014-01-05,64330.109001,5101
2014-01-06,58194.8419974,5101
2014-01-07,57479.2599903,5101
2014-01-08,56131.3699984,5100
2014-01-09,56509.6630044,5082
2014-01-10,57157.208998,5082
2014-01-11,58618.0080082,5080
2014-01-12,64820.1299977,5083
2014-01-13,57754.6619965,5082
2014-01-14,57586.0319887,5081
2014-01-15,56830.2200003,5081
2014-01-16,55616.612011,5079
2014-01-17,56551.3629982,5077
2014-01-18,58633.4839962,5078
2014-01-19,53910.9060006,5069
2014-01-20,57874.559995,5063
2014-01-21,57671.6900041,5072
2014-01-22,56392.1270009,5076
2014-01-23,57338.3000049,5074
2014-01-24,57825.2729999,5068
2014-01-25,58894.1040036,5068
2014-01-26,64526.6399964,5069
2014-01-27,59568.6180055,5068
2014-01-28,57450.0910067,5064
2014-01-29,59770.9330015,5065
2014-01-30,59162.0099981,5063
2014-01-31,60013.1199968,5061
2014-02-01,59243.8339966,5059
2014-02-02,60994.7299962,5050
2014-02-03,56975.3379998,5051
2014-02-04,56043.7969914,5051
2014-02-05,57543.541998400004,5041
2014-02-06,57719.1690051,5043
2014-02-07,55300.4840033,5040
2014-02-08,58297.7049988,5039
2014-02-09,61441.9410144,5035
2014-02-10,56715.1219991,5035
2014-02-11,57641.1839975,5033
2014-02-12,58757.5489905,5031
2014-02-13,56755.97,5029
2014-02-14,59450.8960044,5031
2014-02-15,57670.6669987,5019
2014-02-16,58119.2739963,5018
2014-02-17,55073.5029968,5016
2014-02-18,54006.5269896,5009
2014-02-19,53458.5150006,5008
2014-02-20,52932.6199964,5006
2014-02-21,52632.704997,5004
2014-02-22,53945.8680008,5006
2014-02-23,57379.0929948,4998
2014-02-24,51994.5470041,4994
2014-02-25,51423.5080014,4995
2014-02-26,50943.3059946,4993
2014-02-27,51678.1859978,4990
2014-02-28,1042.2659999,4987
